enunciado;alternativas;resposta;score
"Qual é o coletivo correto para um grupo de ""peixes""?";"A)Alcateia;B)Cardume;C)Enxame;D)Constelação";1;10
Assinale a alternativa em que a palavra está escrita corretamente:;"A)Excessão;B)Analisar;C)Meza;D)Viagem (forma verbal: ""que eles..."")";1;10
"Na frase ""O gato preto subiu no telhado"", qual termo exerce a função de adjetivo?";"A)Gato;B)Preto;C)Subiu;D)Telhado";1;10
"Qual é o plural correto da palavra ""Cidadão""?";"A)Cidadões;B)Cidadães;C)Cidadãos;D)Cidadãoes";2;10
"Qual é o antônimo da palavra ""Rápido""?";"A)Veloz;B)Lento;C)Apressado;D)Forte";1;10
Indique a frase onde a vírgula é usada corretamente para marcar um chamamento (vocativo):;"A)João, venha almoçar agora.;B)João venha, almoçar agora.;C)João venha almoçar, agora.;D)João venha almoçar agora.";0;10
Qual destas palavras pertence ao gênero feminino?;"A)O mapa;B)A cal;C)O pijama;D)O sistema";1;10
Identifique a frase que se encontra no tempo Futuro do Presente:;"A)Eu estudei ontem.;B)Eu estudo sempre.;C)Eu estudarei amanhã.;D)Eu estudava muito.";2;10
"Qual é a figura de linguagem presente na frase: ""O jardim olhava para mim com tristeza""?";"A)Metáfora;B)Personificação (ou Prosopopeia);C)Hipérbole;D)Eufemismo";1;10
"Classifique o sujeito da oração: ""Anunciaram as novas medidas econômicas ontem.""";"A)Sujeito Simples;B)Sujeito Composto;C)Sujeito Indeterminado;D)Sujeito Oculto (Elíptico)";2;10
"(Verdadeiro ou Falso) Na frase ""Os alunos saíram felizes"", o termo ""felizes"" é um Predicativo do Sujeito.";"A)Verdadeiro;B)Falso";0;10
"(Verdadeiro ou Falso) A palavra ""autoestima"" deve ser escrita sem hífen, conforme as regras atuais do Acordo Ortográfico.";"A)Verdadeiro;B)Falso";0;10
"Qual a classe gramatical da palavra destacada em: ""Ele correu muito durante o treino""?";"A)Adjetivo;B)Advérbio;C)Substantivo;D)Preposição";1;10
Identifique a alternativa que apresenta um Objeto Direto;"A)Nós precisamos de ajuda.;B)Eles gostam de música.;C)Os meninos leram o livro.;D)Eu confio em você.";2;10
Assinale a frase em que o uso da vírgula serve para isolar um vocativo:;"A)Comprei pão, leite e café.;B)Maria, traga os relatórios agora.;C)Ontem à noite, saímos para jantar.;D)O menino, que é inteligente, passou.";1;10
"Na frase ""O caminho era longo, mas a vista era linda"", a conjunção em destaque indica:";"A)Adição;B)Conclusão;C)Oposição;D)Explicação";2;10
Qual das frases abaixo apresenta uma figura de linguagem chamada Hipérbole (exagero proposital)?;"A)O dia está muito quente hoje.;B)Eu já te falei isso um milhão de vezes!;C)O sol brilhou no horizonte.;D)O vento soprava calmamente.";1;10
"Assinale a alternativa onde a palavra ""porquê"" foi utilizada corretamente como um substantivo:";"A)Porquê você não veio?;B)Eu não vim porquê estava cansado.;C)Ninguém explicou o porquê de tanta confusão.;D)Você está rindo de quê? Porquê?";2;10
